Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Ohio,US,2022-04-16 04:32:40,40.3888,-82.7649,2681437,38266,,,39.0,22939.63607121164,22110216.0,,1.4270706341413204,84000039.0,USA,189152.42405317773,
Oklahoma,US,2022-04-16 04:32:40,35.5653,-96.9289,1036495,15736,,,40.0,26194.15204205439,,,1.5181935272239615,84000040.0,USA,,
Oregon,US,2022-04-16 04:32:40,44.571999999999996,-122.0709,709586,7443,,,41.0,16823.85601567855,10991256.0,,1.048921483794776,84000041.0,USA,260596.04949289162,
Pennsylvania,US,2022-04-16 04:32:40,40.5908,-77.2098,2795539,44474,,,42.0,21836.75521045988,25112531.0,,1.5908917743590771,84000042.0,USA,196161.1668311853,
Puerto Rico,US,2022-04-16 04:32:40,18.2208,-66.5901,491385,4184,,,72.0,15386.101486241323,3979144.0,,0.8514708426183135,630.0,PRI,124593.77761300866,
Rhode Island,US,2022-04-16 04:32:40,41.6809,-71.5118,365880,3527,,,44.0,34537.80156150736,7709781.0,,0.9639772603039248,84000044.0,USA,727776.5558671689,
South Carolina,US,2022-04-16 04:32:40,33.8569,-80.945,1470597,17698,,,45.0,28562.413837707823,12823078.0,,1.2034568273973087,84000045.0,USA,249053.99678443978,
South Dakota,US,2022-04-16 04:32:40,44.2998,-99.4388,237370,2898,,,46.0,26831.807510012328,1305035.0,,1.2208787968150987,84000046.0,USA,147518.4223525675,
Tennessee,US,2022-04-16 04:32:40,35.7478,-86.6923,2024268,26105,,,47.0,29641.476406956383,12825885.0,,1.2896019696996643,84000047.0,USA,187810.19490790548,
Texas,US,2022-04-16 04:32:40,31.0545,-97.5635,6785022,87809,,,48.0,23399.9511861702,47994910.0,,1.2941593999253058,84000048.0,USA,165523.19965722028,
Utah,US,2022-04-16 04:32:40,40.15,-111.8624,929361,4736,,,49.0,28988.558178241885,6003277.0,,0.5095974545951466,84000049.0,USA,187253.76314973558,
Vermont,US,2022-04-16 04:32:40,44.0459,-72.7107,119613,623,,,50.0,19169.08791661392,3518642.0,,0.5208463962947172,84000050.0,USA,563894.876351987,
Virgin Islands,US,2022-04-16 04:32:40,18.3358,-64.8963,15872,111,,,78.0,14796.584256255359,354947.0,,0.6993447580645161,850.0,VIR,330897.3785285453,
Virginia,US,2022-04-16 04:32:40,37.7693,-78.17,1683267,20022,,,51.0,19720.73402917854,13295481.0,,1.189472614861457,84000051.0,USA,155766.5210516197,
Washington,US,2022-04-16 04:32:40,47.4009,-121.4905,1474548,12619,,,53.0,19364.00156903058,,,0.8557876718831805,84000053.0,USA,,
West Virginia,US,2022-04-16 04:32:40,38.4912,-80.9545,498890,6794,,,54.0,27837.560200139833,6088501.0,,1.3618232476096934,84000054.0,USA,339732.23178678984,
Wisconsin,US,2022-04-16 04:32:40,44.2685,-89.6165,1594940,14390,,,55.0,27393.011238942334,,,0.9022282969892284,84000055.0,USA,,
Wyoming,US,2022-04-16 04:32:40,42.756,-107.3025,156258,1801,,,56.0,26998.802610412968,1399042.0,,1.152580987853422,84000056.0,USA,241731.3596851193,
