Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-04-06 04:31:32,32.3182,-86.9023,1296129,19362,,,1.0,26434.429865485392,7476676.0,,1.493832789791757,84000001.0,USA,152486.10851925839,
Alaska,US,2022-04-06 04:31:32,61.3707,-152.4044,247739,1228,,,2.0,33865.17575815568,,,0.4956829566600334,84000002.0,USA,,
American Samoa,US,2022-04-06 04:31:32,-14.270999999999999,-170.132,4738,7,,,60.0,8515.303463273485,,,0.14774166314900802,16.0,ASM,,
Arizona,US,2022-04-06 04:31:32,33.7298,-111.4312,2007180,29268,,,4.0,27576.01373978408,18847342.0,,1.4581651869787462,84000004.0,USA,258937.6946514063,
Arkansas,US,2022-04-06 04:31:32,34.9697,-92.3731,833265,11290,,,5.0,27611.63415516713,5074983.0,,1.354911102710422,84000005.0,USA,168168.0785100689,
California,US,2022-04-06 04:31:32,36.1162,-119.6816,9116891,89154,,,6.0,23079.534148205228,155284226.0,,0.9776475817000918,84000006.0,USA,393003.01073923375,
Colorado,US,2022-04-06 04:31:32,39.0598,-105.3111,1350848,11980,,,8.0,23457.369811708682,17097094.0,,0.886850334012413,84000008.0,USA,296889.6994062586,
Connecticut,US,2022-04-06 04:31:32,41.5978,-72.7554,738976,10793,,,9.0,20726.97092828712,13681586.0,,1.4605345775776208,84000009.0,USA,383744.3100653608,
Delaware,US,2022-04-06 04:31:32,39.3185,-75.5071,260024,2871,,,10.0,26702.979366663792,3216329.0,,1.1041288496446482,84000010.0,USA,330298.61444867536,
Diamond Princess,US,2022-04-06 04:31:32,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-04-06 04:31:32,38.8974,-77.0268,136886,1333,,,11.0,19395.84753219629,,,0.9738030185701972,84000011.0,USA,,
Florida,US,2022-04-06 04:31:32,27.7663,-81.6868,5885004,73411,,,12.0,27400.484511007842,56040957.0,,1.247424810586365,84000012.0,USA,260925.7995849377,
Georgia,US,2022-04-06 04:31:32,33.0406,-83.6431,2501688,37177,,,13.0,23562.101651219888,17539497.0,,1.4860766010789517,84000013.0,USA,165195.42453945745,
Grand Princess,US,2022-04-06 04:31:32,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-04-06 04:31:32,13.4443,144.7937,47429,352,,,66.0,28879.795894756713,378418.0,,0.7421619684159481,316.0,GUM,230420.9366189893,
Hawaii,US,2022-04-06 04:31:32,21.0943,-157.4983,240778,1379,,,15.0,17005.633277584413,3709392.0,,0.5727267441377535,84000015.0,USA,261986.3942503277,
Idaho,US,2022-04-06 04:31:32,44.2405,-114.4788,444499,4887,,,16.0,24873.12996449486,1212615.0,,1.0994400437346317,84000016.0,USA,67855.11439147429,
Illinois,US,2022-04-06 04:31:32,40.3495,-88.9861,3074435,35867,,,17.0,24261.982551679037,57554756.0,,1.1666208587919409,84000017.0,USA,454194.8311927702,
Indiana,US,2022-04-06 04:31:32,39.8494,-86.2583,1691874,23438,,,18.0,25131.0006403535,19392241.0,,1.3853277489931284,84000018.0,USA,288051.2502638432,
Iowa,US,2022-04-06 04:31:32,42.0115,-93.2105,759175,9445,,,19.0,24062.06518397373,,,1.244113676029901,84000019.0,USA,,
Kansas,US,2022-04-06 04:31:32,38.5266,-96.7265,770971,8395,,,20.0,26463.711086412248,2269976.0,,1.0888866118180842,84000020.0,USA,77917.31341008899,
Kentucky,US,2022-04-06 04:31:32,37.6681,-84.6701,1316355,15028,,,21.0,29463.99613400533,,,1.1416373242780251,84000021.0,USA,,
Louisiana,US,2022-04-06 04:31:32,31.1695,-91.8678,1168934,17154,,,22.0,25144.887039520367,13159287.0,,1.4674908934122886,84000022.0,USA,283068.83462678705,
Maine,US,2022-04-06 04:31:32,44.6939,-69.3819,236709,2207,,,23.0,17609.499096868647,3993213.0,,0.9323684355051984,84000023.0,USA,297067.203685133,
Maryland,US,2022-04-06 04:31:32,39.0639,-76.8021,1013696,14363,,,24.0,16767.278453374973,19648184.0,,1.4168942168066163,84000024.0,USA,324995.4347567189,
Massachusetts,US,2022-04-06 04:31:32,42.2302,-71.5301,1704668,20134,,,25.0,24732.205412170297,42441576.0,,1.1811097527495091,84000025.0,USA,615764.3456956057,
Michigan,US,2022-04-06 04:31:32,43.3266,-84.5361,2389506,35706,,,26.0,23926.506607634416,23465022.0,,1.494283755721894,84000026.0,USA,234959.02664872442,
Minnesota,US,2022-04-06 04:31:32,45.6945,-93.9002,1431643,12649,,,27.0,25385.397486928217,16305426.0,,0.8835303214558378,84000027.0,USA,289122.16258082085,
