Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-04-12 04:31:03,32.3182,-86.9023,1297091,19379,,,1.0,26454.049765611537,7503244.0,,1.4940354994368168,84000001.0,USA,153027.96039717042,
Alaska,US,2022-04-12 04:31:03,61.3707,-152.4044,248675,1228,,,2.0,33993.124141372035,,,0.49381723132602795,84000002.0,USA,,
American Samoa,US,2022-04-12 04:31:03,-14.270999999999999,-170.132,5315,11,,,60.0,9552.308549450943,,,0.20696142991533395,16.0,ASM,,
Arizona,US,2022-04-12 04:31:03,33.7298,-111.4312,2014020,29681,,,4.0,27669.98634512099,18995536.0,,1.4737192282102465,84000004.0,USA,260973.6853349292,
Arkansas,US,2022-04-12 04:31:03,34.9697,-92.3731,833718,11313,,,5.0,27626.64507038893,5087216.0,,1.3569336394320382,84000005.0,USA,168573.43949441382,
California,US,2022-04-12 04:31:03,36.1162,-119.6816,9135704,89403,,,6.0,23121.20985954144,156952463.0,,0.9786109532445448,84000006.0,USA,397225.08905661927,
Colorado,US,2022-04-12 04:31:03,39.0598,-105.3111,1358825,11995,,,8.0,23595.88979248224,17144991.0,,0.8827479623939801,84000008.0,USA,297721.4270631611,
Connecticut,US,2022-04-12 04:31:03,41.5978,-72.7554,742730,10802,,,9.0,20832.263994455425,13728508.0,,1.454364304659836,84000009.0,USA,385060.3892477661,
Delaware,US,2022-04-12 04:31:03,39.3185,-75.5071,259346,2884,,,10.0,26633.35263985935,3230136.0,,1.112027947221087,84000010.0,USA,331716.51447373285,
Diamond Princess,US,2022-04-12 04:31:03,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-04-12 04:31:03,38.8974,-77.0268,137603,1333,,,11.0,19497.44172503256,,,0.96872887945757,84000011.0,USA,,
Florida,US,2022-04-12 04:31:03,27.7663,-81.6868,5906352,73583,,,12.0,27499.880457610594,56252792.0,,1.245828220194123,84000012.0,USA,261912.09995727203,
Georgia,US,2022-04-12 04:31:03,33.0406,-83.6431,2504257,37369,,,13.0,23586.297729684502,17599403.0,,1.4922190494026768,84000013.0,USA,165759.64808032985,
Grand Princess,US,2022-04-12 04:31:03,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-04-12 04:31:03,13.4443,144.7937,47599,352,,,66.0,28983.309890457836,380337.0,,0.7395113342717284,316.0,GUM,231589.42695869788,
Hawaii,US,2022-04-12 04:31:03,21.0943,-157.4983,241972,1382,,,15.0,17089.96293450255,3727115.0,,0.571140462532855,84000015.0,USA,263238.1316955205,
Idaho,US,2022-04-12 04:31:03,44.2405,-114.4788,444757,4897,,,16.0,24887.5670442877,1213896.0,,1.1010506861049971,84000016.0,USA,67926.79617137597,
Illinois,US,2022-04-12 04:31:03,40.3495,-88.9861,3084904,35911,,,17.0,24344.598933334048,57898053.0,,1.1640880883165243,84000017.0,USA,456903.9682615466,
Indiana,US,2022-04-12 04:31:03,39.8494,-86.2583,1693078,23493,,,18.0,25148.884788210245,19392241.0,,1.3875911210233671,84000018.0,USA,288051.2502638432,
Iowa,US,2022-04-12 04:31:03,42.0115,-93.2105,759721,9454,,,19.0,24079.370663725367,,,1.2444041957508083,84000019.0,USA,,
Kansas,US,2022-04-12 04:31:03,38.5266,-96.7265,771652,8501,,,20.0,26487.0865275765,2269976.0,,1.1016624074064474,84000020.0,USA,77917.31341008899,
Kentucky,US,2022-04-12 04:31:03,37.6681,-84.6701,1319472,15200,,,21.0,29533.76399749937,,,1.1519759418919082,84000021.0,USA,,
Louisiana,US,2022-04-12 04:31:03,31.1695,-91.8678,1169512,17182,,,22.0,25157.32037169209,13223239.0,,1.469159786304031,84000022.0,USA,284444.50324105565,
Maine,US,2022-04-12 04:31:03,44.6939,-69.3819,237717,2222,,,23.0,17684.48726837731,4073378.0,,0.9347249039824664,84000023.0,USA,303030.92071786296,
Maryland,US,2022-04-12 04:31:03,39.0639,-76.8021,1016971,14377,,,24.0,16821.449365497352,19748815.0,,1.413707962173946,84000024.0,USA,326659.9456140583,
Massachusetts,US,2022-04-12 04:31:03,42.2302,-71.5301,1714167,20154,,,25.0,24870.021819359386,42716211.0,,1.1757314194007935,84000025.0,USA,619748.8923835071,
Michigan,US,2022-04-12 04:31:03,43.3266,-84.5361,2393265,35776,,,26.0,23964.14607718925,23550922.0,,1.494861622093667,84000026.0,USA,235819.1571182005,
Minnesota,US,2022-04-12 04:31:03,45.6945,-93.9002,1433898,12687,,,27.0,25425.382365374193,16368179.0,,0.8847909683952415,84000027.0,USA,290234.8770274373,
Mississippi,US,2022-04-12 04:31:03,32.7416,-89.6787,795824,12413,,,28.0,26740.059049462914,,,1.5597669836546777,84000028.0,USA,,
Missouri,US,2022-04-12 04:31:03,38.4561,-92.2884,1418058,20177,,,29.0,23105.08571342915,9853234.0,,1.4228614062330314,84000029.0,USA,160543.37419518403,
Montana,US,2022-04-12 04:31:03,46.9219,-110.4544,272919,3255,,,30.0,25535.611698594097,2803062.0,,1.1926615589240763,84000030.0,USA,262267.9359043693,
Nebraska,US,2022-04-12 04:31:03,41.1254,-98.2681,478183,4175,,,31.0,24719.86261429853,5418264.0,,0.8730967014720306,84000031.0,USA,280099.33788528584,
Nevada,US,2022-04-12 04:31:03,38.3135,-117.0554,707980,10136,,,32.0,22985.1994509369,,,1.4316788609847737,84000032.0,USA,,
New Hampshire,US,2022-04-12 04:31:03,43.4525,-71.5639,304365,2459,,,33.0,22384.53612569141,3686285.0,,0.8079115535623347,84000033.0,USA,271107.97809240344,
New Jersey,US,2022-04-12 04:31:03,40.2989,-74.521,2216804,33308,,,34.0,24957.853862617216,17825053.0,,1.5025234526823301,84000034.0,USA,200683.08604071746,
New Mexico,US,2022-04-12 04:31:03,34.8405,-106.2485,519262,7374,,,35.0,24764.15577998969,6851285.0,,1.4200923618520132,84000035.0,USA,326745.0516947257,
New York,US,2022-04-12 04:31:03,42.1657,-74.9481,5044098,68067,,,36.0,25928.91861803605,104920378.0,,1.3494384922735445,84000036.0,USA,539337.6462026669,
North Carolina,US,2022-04-12 04:31:03,35.6301,-79.8064,2634007,23257,,,37.0,25114.28207478125,22875756.0,,0.8829513361202154,84000037.0,USA,218111.86866924405,
North Dakota,US,2022-04-12 04:31:03,47.5289,-99.78399999999999,240109,2254,,,38.0,31507.803826985215,,,0.9387403221037112,84000038.0,USA,,
Northern Mariana Islands,US,2022-04-12 04:31:03,15.0979,145.6739,11203,34,,,69.0,20315.90018859713,,,0.30349013657056145,580.0,MNP,,
Ohio,US,2022-04-12 04:31:03,40.3888,-82.7649,2676629,38166,,,39.0,22898.503734248145,22110216.0,,1.4258980232224936,84000039.0,USA,189152.42405317773,
Oklahoma,US,2022-04-12 04:31:03,35.5653,-96.9289,1036133,15640,,,40.0,26185.00363030207,,,1.509458727788807,84000040.0,USA,,
Oregon,US,2022-04-12 04:31:03,44.571999999999996,-122.0709,707512,7315,,,41.0,16774.68272677979,10920148.0,,1.0339047252908784,84000041.0,USA,258910.12170744644,
Pennsylvania,US,2022-04-12 04:31:03,40.5908,-77.2098,2789749,44425,,,42.0,21791.5278633656,25046768.0,,1.5924371690786518,84000042.0,USA,195647.47321685715,
Puerto Rico,US,2022-04-12 04:31:03,18.2208,-66.5901,488226,4177,,,72.0,15287.187814486919,3957531.0,,0.8555464067870208,630.0,PRI,123917.0377625408,
Rhode Island,US,2022-04-12 04:31:03,41.6809,-71.5118,364184,3527,,,44.0,34377.705050497425,7675729.0,,0.9684664894668628,84000044.0,USA,724562.1653053114,
South Carolina,US,2022-04-12 04:31:03,33.8569,-80.945,1469706,17650,,,45.0,28545.108545551368,12796197.0,,1.2009204562000837,84000045.0,USA,248531.90524857282,
South Dakota,US,2022-04-12 04:31:03,44.2998,-99.4388,237246,2893,,,46.0,26817.790809792245,1302158.0,,1.219409389410148,84000046.0,USA,147193.2122998805,
Tennessee,US,2022-04-12 04:31:03,35.7478,-86.6923,2022647,26021,,,47.0,29617.74000779596,12779408.0,,1.2864825152386947,84000047.0,USA,187129.6294398121,
